year,N,Y,Y_cumul,N_cumul
2000,1,119,119,1
2002,0,16,135,1
2003,0,42,177,1
2005,0,20,197,1
2008,0,26,223,1
2009,0,20,243,1
2010,0,35,278,1
2011,0,15,293,1
2012,0,10,303,1
2017,3,3,306,4
2019,562,0,306,566
2020,6,0,306,572
