,slidename,order,sample,notes
0,13829$2020-041-10$US$SCAN$OR$001 .svs,13829,2020-041-10,Immuno
0,13829$2020-039-10$US$SCAN$OR$001 .svs,13829,2020-039-10,Immuno
0,13829$2020-039-7$US$SCAN$OR$001 .svs,13829,2020-039-7,Pentachrome
0,13829$2020-039-9$US$SCAN$OR$001 .svs,13829,2020-039-9,Immuno
0,13829$2020-045-7$US$SCAN$OR$001 .svs,13829,2020-045-7,Pentachrome
0,13829$2016-017-6$US$SCAN$OR$001 .svs,13829,2016-017-6,Pentachrome
0,13829$2016-017-7$US$SCAN$OR$001 .svs,13829,2016-017-7,Control
0,13829$2019-002-8$US$SCAN$OR$001 .svs,13829,2019-002-8,Immuno
0,13829$2019-002-9$US$SCAN$OR$001 .svs,13829,2019-002-9,Immuno
0,13829$2019-002-10$US$SCAN$OR$001 .svs,13829,2019-002-10,Immuno
0,13829$2019-049-8$US$SCAN$OR$001 .svs,13829,2019-049-8,Immuno
0,13829$2019-049-9$US$SCAN$OR$001 .svs,13829,2019-049-9,Immuno
0,13829$2019-049-10$US$SCAN$OR$001 .svs,13829,2019-049-10,Immuno
0,13829$2020-045-8$US$SCAN$OR$001 .svs,13829,2020-045-8,Pentachrome
0,13829$2020-045-10$US$SCAN$OR$001 .svs,13829,2020-045-10,Immuno
0,13829$2020-048-7$US$SCAN$OR$001 .svs,13829,2020-048-7,Pentachrome
0,13829$2018-016-8$US$SCAN$OR$001 .svs,13829,2018-016-8,Immuno
0,13829$2018-016-9$US$SCAN$OR$001 .svs,13829,2018-016-9,Immuno
0,13829$2018-016-10$US$SCAN$OR$001 .svs,13829,2018-016-10,Immuno
0,13829$2019-101-8$US$SCAN$OR$001 .svs,13829,2019-101-8,Control
0,13829$2019-101-11$US$SCAN$OR$001 .svs,13829,2019-101-11,Immuno
0,13829$2020-048-8$US$SCAN$OR$001 .svs,13829,2020-048-8,Control
0,13829$2020-048-9$US$SCAN$OR$001 .svs,13829,2020-048-9,Immuno
0,13829$2019-101-9$US$SCAN$OR$001 .svs,13829,2019-101-9,Immuno
0,13829$2020-048-10$US$SCAN$OR$001 .svs,13829,2020-048-10,Immuno
0,13829$2020-049-8$US$SCAN$OR$001 .svs,13829,2020-049-8,Control
0,13829$2020-049-7$US$SCAN$OR$001 .svs,13829,2020-049-7,Pentachrome
0,13829$2020-049-9$US$SCAN$OR$001 .svs,13829,2020-049-9,Immuno
0,13829$2020-049-10$US$SCAN$OR$001 .svs,13829,2020-049-10,Immuno
0,13829$2019-101-7$US$SCAN$OR$001 .svs,13829,2019-101-7,Immuno
0,13829$2020-045-9$US$SCAN$OR$001 .svs,13829,2020-045-9,Immuno
0,13829$2003-054-7$US$SCAN$OR$001 -001.svs,13829,2003-054-7,
0,13829$2003-054-8$US$SCAN$OR$001 -001.svs,13829,2003-054-8,
0,13829$2018-016-7$US$SCAN$OR$001 .svs,13829,2018-016-7,Control
0,13829$2010-015-3$US$SCAN$OR$001 .svs,13829,2010-015-3,Out of focus
0,13829$2011-039-7$US$SCAN$OR$001 .svs,13829,2011-039-7,Pentachrome
0,13829$2011-039-11$US$SCAN$OR$001 .svs,13829,2011-039-11,Trichrome
0,13829$2011-039-10$US$SCAN$OR$001 .svs,13829,2011-039-10,Control
0,13829$2005-047-18$US$SCAN$OR$001 .svs,13829,2005-047-18,Pentachrome
0,13829$2005-047-17$US$SCAN$OR$001 .svs,13829,2005-047-17,Pentachrome
0,13829$2005-047-19$US$SCAN$OR$001 .svs,13829,2005-047-19,Control
0,13829$2011-039-8$US$SCAN$OR$001 .svs,13829,2011-039-8,Control
0,13829$2011-039-12$US$SCAN$OR$001 .svs,13829,2011-039-12,Control
0,13829$2005-047-20$US$SCAN$OR$001 .svs,13829,2005-047-20,Pentachrome
0,13829$2014-026-8$US$SCAN$OR$001 -001.svs,13829,2014-026-8,Control
0,13829$2011-007-8$US$SCAN$OR$001 .svs,13829,2011-007-8,Control
0,13829$2008-027-8$US$SCAN$OR$001 .svs,13829,2008-027-8,Pentachrome
0,13829$2008-027-7$US$SCAN$OR$001 .svs,13829,2008-027-7,Pentachrome
0,13829$2008-026-8$US$SCAN$OR$001 .svs,13829,2008-026-8,Pentachrome
0,13829$2008-026-7$US$SCAN$OR$001 .svs,13829,2008-026-7,Pentachrome
0,13829$2007-014-9$US$SCAN$OR$001 .svs,13829,2007-014-9,Pentachrome
0,13829$2007-014-8$US$SCAN$OR$001 .svs,13829,2007-014-8,Control
0,13829$2007-014-7$US$SCAN$OR$001 .svs,13829,2007-014-7,Immuno
0,13829$2007-014-11$US$SCAN$OR$001 .svs,13829,2007-014-11,Immuno
0,13829$2007-003-7$US$SCAN$OR$001 .svs,13829,2007-003-7,BCC
0,13829$2007-014-10$US$SCAN$OR$001 .svs,13829,2007-014-10,Immuno
0,13829$2007-014-12$US$SCAN$OR$001 .svs,13829,2007-014-12,Immuno
0,13829$2006-023-1$US$SCAN$OR$001 .svs,13829,2006-023-1,Poor section
0,13829$2014-026-7$US$SCAN$OR$001 .svs,13829,2014-026-7,Immuno
0,13829$2004-030-7$US$SCAN$OR$001 .svs,13829,2004-030-7,Pentachrome
0,13829$2011-007-7$US$SCAN$OR$001 .svs,13829,2011-007-7,Immuno
