N,Y,Y_cumul,N_cumul
0,22,22,0
0,10,32,0
0,6,38,0
0,9,47,0
0,2,49,0
0,3,52,0
0,2,54,0
0,1,55,0
0,5,60,0
0,6,66,0
0,4,70,0
7,3,73,7
0,7,80,7
0,5,85,7
0,13,98,7
0,5,103,7
0,17,120,7
0,7,127,7
0,6,133,7
228,7,140,235
96,0,140,331
